index	gene_name	mean_tpm
ENSG00000159216	RUNX1	101.78259997389955
ENSG00000141956	PRDM15	1088.6825960567098
ENSG00000160199	PKNOX1	1505.997092688985
ENSG00000160224	AIRE	9.36553458429511
ENSG00000063515	GSC2	1.334546118704735
ENSG00000169635	HIC2	3791.140310414825
ENSG00000100219	XBP1	5722.722843039121
ENSG00000100105	PATZ1	5913.540644912449
ENSG00000175329	ISX	4.79990740704676
ENSG00000185022	MAFF	268.28450543594
ENSG00000128272	ATF4	15848.71727206995
ENSG00000100393	EP300	12422.3869484136
ENSG00000214717	ZBED1	0.0
ENSG00000214717	ZBED1	0.0
ENSG00000005889	ZFX	1877.0515798285703
ENSG00000004848	ARX	3.5825014032412446
ENSG00000169297	NR0B1	19.50504511807133
ENSG00000147118	ZNF182	603.861142932072
ENSG00000102145	GATA1	0.889697412469825
ENSG00000068323	TFE3	3532.004691149985
ENSG00000049768	FOXP3	23.1572631294879
ENSG00000147133	TAF1	2651.5718863142447
ENSG00000122145	TBX22	49.70875228723195
ENSG00000196767	POU3F4	113.63320737635061
ENSG00000165259	HDX	816.7989707237195
ENSG00000123576	ESX1	0.0
ENSG00000101883	RHOXF1	1.779394824939645
ENSG00000177485	ZBTB33	2913.969999644225
ENSG00000102034	ELF4	90.66280096993745
ENSG00000156925	ZIC3	5870.34005959712
ENSG00000134595	SOX3	1197.083815186975
ENSG00000169057	MECP2	2732.698914470625
ENSG00000124334	IL9R	0.0
ENSG00000124334	IL9R	0.0
ENSG00000184895	SRY	62.704211781492205
ENSG00000169953	HSFY2	0.0
ENSG00000257482	ZNF727	0.0
